title,price,old_price,url,source
Nexa Ultra 40K – Blue Razz Ice,89.9,,https://www.vaporclub.pe/products/nexa-ultra-40k-blue-razz-ice-vape-desechable?variant=42010790133783,VAPOR CLUB
Nexa Ultra 40K – Blueberry Watermelon,89.9,,https://www.vaporclub.pe/products/nexa-ultra-40k-blueberry-watermelon-vape-desechable?variant=42010790264855,VAPOR CLUB
Nexa Ultra 40K – Cherry Bomb,89.9,,https://www.vaporclub.pe/products/nexa-ultra-40k-cherry-bomb-vape-desechable?variant=42010790461463,VAPOR CLUB
Nexa Ultra 40K – Mango Oasis,89.9,,https://www.vaporclub.pe/products/nexa-ultra-40k-mango-oasis-vape-desechable?variant=42010790821911,VAPOR CLUB
Nexa Ultra 40K – Miami Mint,89.9,,https://www.vaporclub.pe/products/nexa-ultra-40k-miami-mint-vape-desechable?variant=42010791084055,VAPOR CLUB
Nexa Ultra 40K – Sour Apple Ice,89.9,,https://www.vaporclub.pe/products/nexa-ultra-40k-sour-apple-ice-vape-desechable?variant=42010791444503,VAPOR CLUB
Nexa Ultra 40K – Strawberry Ice,89.9,,https://www.vaporclub.pe/products/nexa-ultra-40k-strawberry-ice-vape-desechable?variant=42010791870487,VAPOR CLUB
Nexa Ultra 40K – Watermelon Ice,89.9,,https://www.vaporclub.pe/products/nexa-ultra-40k-watermelon-ice-vape-desechable?variant=42010792165399,VAPOR CLUB
Lamborghini Aventador – Grape Mint | Vape desechable,55.0,85.0,https://www.vaporclub.pe/products/lamborguini-aventador-12000-puffs-grape-mint?variant=41403795308567,VAPOR CLUB
Lamborghini Aventador – Peach Ice | Vape desechable,55.0,85.0,https://www.vaporclub.pe/products/lamborguini-aventador-12000-puff-peach-ice?variant=41403864219671,VAPOR CLUB
Lamborghini Aventador – Spearmint  Vape desechable,55.0,85.0,https://www.vaporclub.pe/products/lamborguini-aventador-12000-puffs-spearmint?variant=41403781709847,VAPOR CLUB
Lamborghini Aventador – Sweet Mango | Vape desechable,55.0,85.0,https://www.vaporclub.pe/products/lamborguini-aventador-12000-puffs-sweet-mango?variant=41403839938583,VAPOR CLUB
💨 Nasty Bar Hooqa DFR10Ki – Apple Peach | Vape desechable,80.0,,https://www.vaporclub.pe/products/nasty-bar-hooqa-dfr10ki-apple-peach?variant=41419728748567,VAPOR CLUB
💨 Nasty Bar Hooqa DFR10Ki – Bad Blood | Vape desechable,80.0,,https://www.vaporclub.pe/products/nasty-bar-hooqa-dfr10ki-bad-blood?variant=41419729469463,VAPOR CLUB
💨 Nasty Bar Hooqa DFR10Ki – Blue Raspberry Cherry | Vape desechable,80.0,,https://www.vaporclub.pe/products/nasty-bar-hooqa-dfr10ki-blue-raspberry-cherry?variant=41419729797143,VAPOR CLUB
💨 Nasty Bar Hooqa DFR10Ki – Cushman | Vape desechable,80.0,,https://www.vaporclub.pe/products/nasty-bar-hooqa-dfr10ki-cushman?variant=41419732025367,VAPOR CLUB
💨 Nasty Bar Hooqa DFR10Ki – Grape Ice | Vape desechable,80.0,,https://www.vaporclub.pe/products/nasty-bar-hooqa-dfr10ki-grape-ice?variant=41419734745111,VAPOR CLUB
💨 Nasty Bar Hooqa DFR10Ki – Grape Raspberry Ice | Vape desechable,80.0,,https://www.vaporclub.pe/products/nasty-bar-hooqa-dfr10ki-grape-raspberry-ice?variant=41419735302167,VAPOR CLUB
💨 Nasty Bar Hooqa DFR10Ki – Shisha Lemon Mint | Vape desechable,80.0,,https://www.vaporclub.pe/products/nasty-bar-hooqa-dfr10ki-shisha-lemon-mint?variant=41419762696215,VAPOR CLUB
💨 Nasty Bar Hooqa DFR10Ki – Strawberry Guava Kiwi | Vape desechable,80.0,,https://www.vaporclub.pe/products/nasty-bar-hooqa-dfr10ki-strawberry-guava-kiwi?variant=41419741724695,VAPOR CLUB
💨 Nasty Bar Hooqa DFR10Ki – Watermelon Ice | Vape desechable,80.0,,https://www.vaporclub.pe/products/nasty-bar-hooqa-dfr10ki-watermelon-ice?variant=41419742609431,VAPOR CLUB
Nexa N20000 - Sour Apple Ice,75.0,80.0,https://www.vaporclub.pe/products/nexa-n20000-sour-apple-ice-vape-desechable?variant=41734130335767,VAPOR CLUB
💨 DOJO BLAST 2000 GO Kit | Sistema de pods precargados,35.0,,https://www.vaporclub.pe/products/dojo-blast2000-go-kit?variant=42311581794327,VAPOR CLUB
💨 DOJO BLAST 2000 GO – Prefilled Pod | Repuesto,29.0,,https://www.vaporclub.pe/products/dojo-blast2000-go-prefilled-pod?variant=42311591100439,VAPOR CLUB
